"","Time","ED_vehicle_id","LV_vehicle_id","Lane","ED_speed_mps","LV_speed_mps","ED_acc_mps2_lag","LV_acc_mps2_lag","ED_position_m_new","LV_position_m_new","LV_width_m","LV_length_m","LV_spacing_m","LV_frspacing_m","ED_jerk_mps3_lag"
"1",0,2117,2106,5,8.04759,9.62645,1.55465,-0.08244,50.28434,70.30226,2,5.1212,20.01792,14.89672,NA
"2",0.1,2117,2106,5,7.79538,9.61614,-2.52212,-0.10316,51.06388,71.26387,2,5.1212,20.19999,15.07879,-40.7677
"3",0.2,2117,2106,5,7.91884,9.59974,1.23465,-0.16401,51.85576,72.22384,2,5.1212,20.36808,15.24688,37.5677
"4",0.3,2117,2106,5,8.0385,9.57237,1.1966,-0.27361,52.65961,73.18108,2,5.1212,20.52147,15.40027,-0.380499999999999
"5",0.4,2117,2106,5,8.14564,9.52746,1.07138,-0.44917,53.47417,74.13383,2,5.1212,20.65966,15.53846,-1.2522
"6",0.5,2117,2106,5,8.23359,9.45645,0.87947,-0.71005,54.29753,75.07947,2,5.1212,20.78194,15.66074,-1.9191
"7",0.6,2117,2106,5,8.30241,9.35187,0.68826,-1.04586,55.12777,76.01466,2,5.1212,20.88689,15.76569,-1.9121
"8",0.7,2117,2106,5,8.35871,9.21434,0.56298,-1.37525,55.96365,76.93609,2,5.1212,20.97244,15.85124,-1.2528
"9",0.8,2117,2106,5,8.41285,9.05515,0.5414,-1.5919,56.80493,77.84161,2,5.1212,21.03668,15.91548,-0.2158
"10",0.9,2117,2106,5,8.47729,8.88844,0.64435,-1.66708,57.65266,78.73045,2,5.1212,21.07779,15.95659,1.0295
"11",1,2117,2106,5,8.56802,8.7234,0.90737,-1.65043,58.50946,79.60279,2,5.1212,21.09333,15.97213,2.6302
"12",1.1,2117,2106,5,8.70494,8.56396,1.36911,-1.59441,59.37996,80.45919,2,5.1212,21.07923,15.95803,4.6174
"13",1.2,2117,2106,5,8.89769,8.41148,1.9275,-1.52483,60.26972,81.30034,2,5.1212,21.03062,15.90942,5.5839
"14",1.3,2117,2106,5,9.13424,8.26631,2.36553,-1.45167,61.18315,82.12697,2,5.1212,20.94382,15.82262,4.3803
"15",1.4,2117,2106,5,9.3945,8.12847,2.6026,-1.37837,62.1226,82.93981,2,5.1212,20.81721,15.69601,2.3707
"16",1.5,2117,2106,5,9.66283,7.99789,2.68334,-1.30585,63.08888,83.7396,2,5.1212,20.65072,15.52952,0.8074
"17",1.6,2117,2106,5,9.92551,7.87447,2.62676,-1.23418,64.08143,84.52705,2,5.1212,20.44562,15.32442,-0.565799999999999
"18",1.7,2117,2106,5,10.16703,7.75815,2.4152,-1.16315,65.09813,85.30286,2,5.1212,20.20473,15.08353,-2.1156
"19",1.8,2117,2106,5,10.369,7.6489,2.01967,-1.09258,66.13503,86.06775,2,5.1212,19.93272,14.81152,-3.9553
"20",1.9,2117,2106,5,10.5114,7.54667,1.424,-1.02229,67.18617,86.82242,2,5.1212,19.63625,14.51505,-5.9567
"21",2,2117,2106,5,10.57742,7.45145,0.66027,-0.95217,68.24392,87.56757,2,5.1212,19.32365,14.20245,-7.6373
"22",2.1,2117,2106,5,10.56466,7.36324,-0.12767,-0.88216,69.30038,88.30389,2,5.1212,19.00351,13.88231,-7.8794
"23",2.2,2117,2106,5,10.50839,7.28201,-0.56267,-0.81221,70.35122,89.03209,2,5.1212,18.68087,13.55967,-4.35
"24",2.3,2117,2106,5,10.4593,7.20779,-0.49083,-0.74229,71.39715,89.75287,2,5.1212,18.35572,13.23452,0.7184
"25",2.4,2117,2106,5,10.429,7.14055,-0.30303,-0.67239,72.44005,90.46692,2,5.1212,18.02687,12.90567,1.878
"26",2.5,2117,2106,5,10.40437,7.0803,-0.24627,-0.60251,73.48049,91.17495,2,5.1212,17.69446,12.57326,0.5676
"27",2.6,2117,2106,5,10.37728,7.02703,-0.2709,-0.53263,74.51822,91.87766,2,5.1212,17.35944,12.23824,-0.2463
"28",2.7,2117,2106,5,10.33845,6.98076,-0.38839,-0.46275,75.55206,92.57573,2,5.1212,17.02367,11.90247,-1.1749
"29",2.8,2117,2106,5,10.26293,6.94147,-0.75515,-0.39288,76.57835,93.26988,2,5.1212,16.69153,11.57033,-3.6676
"30",2.9,2117,2106,5,10.10734,6.90917,-1.55594,-0.323,77.58909,93.9608,2,5.1212,16.37171,11.25051,-8.0079
"31",3,2117,2106,5,9.84389,6.88386,-2.63446,-0.25313,78.57348,94.64918,2,5.1212,16.0757,10.9545,-10.7852
"32",3.1,2117,2106,5,9.48966,6.86553,-3.54231,-0.18326,79.52244,95.33574,2,5.1212,15.8133,10.6921,-9.0785
"33",3.2,2117,2106,5,9.08756,6.85419,-4.02103,-0.11339,80.4312,96.02116,2,5.1212,15.58996,10.46876,-4.7872
"34",3.3,2117,2106,5,8.6803,6.84984,-4.07254,-0.04351,81.29923,96.70614,2,5.1212,15.40691,10.28571,-0.515100000000004
"35",3.4,2117,2106,5,8.307,6.85248,-3.73304,0.02636,82.12993,97.39139,2,5.1212,15.26146,10.14026,3.395
"36",3.5,2117,2106,5,8.00387,6.8621,-3.03128,0.09622,82.93031,98.0776,2,5.1212,15.14729,10.02609,7.0176
"37",3.6,2117,2106,5,7.7989,6.8787,-2.04967,0.16607,83.7102,98.76547,2,5.1212,15.05527,9.93406999999999,9.8161
"38",3.7,2117,2106,5,7.69757,6.90229,-1.01329,0.23588,84.47996,99.4557,2,5.1212,14.97574,9.85453999999999,10.3638
"39",3.8,2117,2106,5,7.65261,6.93285,-0.44958,0.3056,85.24522,100.14898,2,5.1212,14.90376,9.78255999999999,5.6371
"40",3.9,2117,2106,5,7.58578,6.97036,-0.66831,0.37512,86.0038,100.84602,2,5.1212,14.84222,9.72102,-2.1873
"41",4,2117,2106,5,7.46312,7.01478,-1.22659,0.44421,86.75011,101.5475,2,5.1212,14.79739,9.67618999999999,-5.5828
"42",4.1,2117,2106,5,7.3029,7.06602,-1.60224,0.51233,87.4804,102.2541,2,5.1212,14.7737,9.65249999999999,-3.7565
"43",4.2,2117,2106,5,7.13898,7.12385,-1.63925,0.57835,88.1943,102.96648,2,5.1212,14.77218,9.65098000000001,-0.3701
"44",4.3,2117,2106,5,6.99924,7.18784,-1.39734,0.63987,88.89423,103.68527,2,5.1212,14.79104,9.66984000000001,2.4191
"45",4.4,2117,2106,5,6.89524,7.25702,-1.04002,0.6918,89.58375,104.41097,2,5.1212,14.82722,9.70602000000001,3.5732
"46",4.5,2117,2106,5,6.82569,7.32936,-0.69553,0.72337,90.26632,105.1439,2,5.1212,14.87758,9.75638000000001,3.4449
"47",4.6,2117,2106,5,6.78401,7.40085,-0.41679,0.71491,90.94472,105.88399,2,5.1212,14.93927,9.81806999999999,2.7874
"48",4.7,2117,2106,5,6.76351,7.46547,-0.20496,0.64627,91.62107,106.63054,2,5.1212,15.00947,9.88826999999999,2.1183
"49",4.8,2117,2106,5,6.75917,7.51762,-0.04339,0.52141,92.29699,107.3823,2,5.1212,15.08531,9.96411000000001,1.6157
"50",4.9,2117,2106,5,6.77247,7.55512,0.13295,0.37501,92.97423,108.13781,2,5.1212,15.16358,10.04238,1.7634
"51",5,2117,2106,5,6.81689,7.57948,0.44421,0.24367,93.65592,108.89576,2,5.1212,15.23984,10.11864,3.1126
"52",5.1,2117,2106,5,6.90569,7.59371,0.88806,0.14222,94.34649,109.65513,2,5.1212,15.30864,10.18744,4.4385
"53",5.2,2117,2106,5,7.02874,7.60041,1.23048,0.06702,95.04937,110.41517,2,5.1212,15.3658,10.2446,3.4242
"54",5.3,2117,2106,5,7.15463,7.60107,1.25892,0.00664,95.76483,111.17528,2,5.1212,15.41045,10.28925,0.2844
"55",5.4,2117,2106,5,7.25661,7.5959,1.01979,-0.05169,96.49049,111.93487,2,5.1212,15.44438,10.32318,-2.3913
"56",5.5,2117,2106,5,7.32563,7.58396,0.6902,-0.11943,97.22305,112.69326,2,5.1212,15.47021,10.34901,-3.2959
"57",5.6,2117,2106,5,7.36347,7.56346,0.3784,-0.205,97.9594,113.44961,2,5.1212,15.49021,10.36901,-3.118
"58",5.7,2117,2106,5,7.37413,7.5328,0.10654,-0.30659,98.69681,114.20289,2,5.1212,15.50608,10.38488,-2.7186
"59",5.8,2117,2106,5,7.35914,7.49404,-0.14989,-0.38757,99.43273,114.95229,2,5.1212,15.51956,10.39836,-2.5643
"60",5.9,2117,2106,5,7.31371,7.45719,-0.45428,-0.36854,100.1641,115.69801,2,5.1212,15.53391,10.41271,-3.0439
"61",6,2117,2106,5,7.23159,7.43669,-0.82117,-0.20497,100.88726,116.44168,2,5.1212,15.55442,10.43322,-3.6689
"62",6.1,2117,2106,5,7.11903,7.44055,-1.12562,0.03862,101.59916,117.18574,2,5.1212,15.58658,10.46538,-3.0445
"63",6.2,2117,2106,5,6.99765,7.46589,-1.21382,0.25339,102.29893,117.93233,2,5.1212,15.6334,10.5122,-0.881999999999998
"64",6.3,2117,2106,5,6.89275,7.50428,-1.04898,0.38391,102.9882,118.68275,2,5.1212,15.69455,10.57335,1.6484
"65",6.4,2117,2106,5,6.82129,7.54741,-0.71457,0.43129,103.67033,119.4375,2,5.1212,15.76717,10.64597,3.3441
"66",6.5,2117,2106,5,6.78626,7.589,-0.35031,0.41583,104.34896,120.1964,2,5.1212,15.84744,10.72624,3.6426
"67",6.6,2117,2106,5,6.7803,7.62479,-0.0596,0.35792,105.02699,120.95887,2,5.1212,15.93188,10.81068,2.9071
"68",6.7,2117,2106,5,6.79282,7.65209,0.1252,0.27306,105.70627,121.72408,2,5.1212,16.01781,10.89661,1.848
"69",6.8,2117,2106,5,6.81155,7.66927,0.18733,0.17177,106.38742,122.49101,2,5.1212,16.10359,10.98239,0.6213
"70",6.9,2117,2106,5,6.8239,7.67535,0.12346,0.06075,107.06981,123.25855,2,5.1212,16.18874,11.06754,-0.6387
"71",7,2117,2106,5,6.82266,7.66975,-0.0124,-0.05592,107.75208,124.02552,2,5.1212,16.27344,11.15224,-1.3586
"72",7.1,2117,2106,5,6.80844,7.65218,-0.14219,-0.17577,108.43292,124.79074,2,5.1212,16.35782,11.23662,-1.2979
"73",7.2,2117,2106,5,6.78596,7.62244,-0.22477,-0.29734,109.11152,125.55298,2,5.1212,16.44146,11.32026,-0.8258
"74",7.3,2117,2106,5,6.76019,7.58047,-0.2577,-0.41971,109.78754,126.31103,2,5.1212,16.52349,11.40229,-0.3293
"75",7.4,2117,2106,5,6.73496,7.52625,-0.25235,-0.54226,110.46103,127.06365,2,5.1212,16.60262,11.48142,0.0534999999999997
"76",7.5,2117,2106,5,6.71286,7.45981,-0.22097,-0.6644,111.13232,127.80964,2,5.1212,16.67732,11.55612,0.3138
"77",7.6,2117,2106,5,6.69555,7.38127,-0.17315,-0.78539,111.80188,128.54776,2,5.1212,16.74588,11.62468,0.4782
"78",7.7,2117,2106,5,6.68398,7.29085,-0.11564,-0.90414,112.47027,129.27685,2,5.1212,16.80658,11.68538,0.5751
"79",7.8,2117,2106,5,6.67868,7.18897,-0.05304,-1.01882,113.13814,129.99574,2,5.1212,16.8576,11.7364,0.626
"80",7.9,2117,2106,5,6.67981,7.07634,0.01131,-1.12631,113.80612,130.70338,2,5.1212,16.89726,11.77606,0.6435
"81",8,2117,2106,5,6.68726,6.95419,0.07447,-1.22146,114.47485,131.3988,2,5.1212,16.92395,11.80275,0.6316
"82",8.1,2117,2106,5,6.70057,6.82461,0.13316,-1.29583,115.14491,132.08126,2,5.1212,16.93635,11.81515,0.5869
